category_type,category,metric,n_category,n_other,mean_diff,median_diff,cohens_d,mann_whitney_p,adj_beta,adj_p,platform_top,platform_share,low_sample
specific,ecommerce_payments,stars,3,1746,-2346.836197021764,-423.0,-0.2904138035073792,0.014275456101328928,-1.7147934236939415,0.0050169653698874115,wordpress,1.0,True
specific,ecommerce_payments,downloads,3,1744,-6868447.099006116,-400603.0,-0.44674823206739805,0.005707290884187099,-1.09488564050963,0.005570789516917698,wordpress,1.0,True
specific,ecommerce_payments,rating,3,1008,47.874107229979245,93.8095235824585,1.3900319688824567,0.22579818441628807,,,wordpress,1.0,True
specific,energy_environment,stars,3,1746,-2280.7227949599082,-333.0,-0.2822313387966601,0.09425650277233376,-1.4506164513999305,0.018105461624031302,homeassistant,1.0,True
specific,energy_environment,downloads,3,1744,-6858748.110282875,-391450.0,-0.4461171597062424,0.013651485592573178,-0.42483728619348526,0.284312120794287,homeassistant,1.0,True
specific,energy_environment,rating,3,1008,-18.322321341449324,-4.194174766540527,-0.5306957187942152,0.041961996465382526,,,homeassistant,1.0,True
specific,formatting_styling,stars,7,1742,-1047.8617352796457,181.0,-0.1296646625865665,0.5425785098966314,0.2054449009159649,0.646682118394345,sublime,0.5714285714285714,True
specific,formatting_styling,downloads,7,1740,5720793.738505747,498606.5,0.372139975005197,0.15340432455808398,0.009795960009455928,0.9730230560607087,sublime,0.5714285714285714,True
specific,formatting_styling,rating,3,1008,-14.308427989780924,0.04208183288574219,-0.4143680771270157,0.858204740417329,,,sublime,0.5714285714285714,True
specific,gameplay_mechanics,stars,2,1747,-2367.5180309101315,-399.0,-0.29296631581595345,0.04351506002465,-1.359229554561371,0.14415515788987077,minecraft,1.0,True
specific,gameplay_mechanics,downloads,2,1745,8414063.353295129,14863952.5,0.547280709013775,0.1010878974768673,-0.1822378084414119,0.7619363992616701,minecraft,1.0,True
specific,gameplay_mechanics,rating,2,1009,-18.30416245012975,-4.194174766540527,-0.5300958534891888,0.09702820464747665,,,minecraft,1.0,True
specific,graphics_visuals,stars,11,1738,-1862.6162255466052,-201.0,-0.23051471220661876,0.1200777715261779,0.8929315340341626,0.011793014656747489,minecraft,1.0,False
specific,graphics_visuals,downloads,11,1736,18023780.789589442,23998942.0,1.1772066035483741,4.407508263874959e-06,0.17310853384873026,0.4501828077708169,minecraft,1.0,False
specific,graphics_visuals,rating,11,1000,-18.468899912180916,-4.207050000000001,-0.5355443445879566,9.169629090182658e-05,,,minecraft,1.0,False
specific,ide_productivity,stars,84,1665,3648.025546975547,1498.0,0.4535192723602624,7.232739199972063e-09,-0.15093740481024875,0.29158879311940755,jetbrains,1.0,False
specific,ide_productivity,downloads,84,1663,-902863.9056782061,3138765.5,-0.05872006327341945,2.7243337784007567e-11,-0.11185967277397524,0.2265206352395955,jetbrains,1.0,False
specific,integrations_connectors,stars,94,1655,-1012.987818988237,-225.5,-0.12539524855989537,0.040308911702121,-0.11444750316816021,0.3254671295551653,wordpress,0.4148936170212766,False
specific,integrations_connectors,downloads,94,1653,2222314.6149747064,-161500.0,0.14459948822173765,0.42503549958405784,0.07319283033773155,0.33055799024679833,wordpress,0.4148936170212766,False
specific,integrations_connectors,rating,70,941,35.13508910471807,71.88321161270142,1.0530325942649836,6.991968594133731e-13,,,wordpress,0.4148936170212766,False
specific,items_blocks,stars,2,1747,-2223.353176874642,-255.0,-0.27512517589618574,0.20485628117655663,-0.6034076230861363,0.4548326769149498,minecraft,1.0,True
specific,items_blocks,downloads,2,1745,4556538.6830945555,11010844.0,0.29633763335099433,0.1425434130374874,-0.5346724281608388,0.30549981937263926,minecraft,1.0,True
specific,items_blocks,rating,2,1009,-18.30416245012975,-4.194174766540527,-0.5300958534891888,0.09702820464747665,,,minecraft,1.0,True
specific,language_support,stars,119,1630,2140.047806361809,818.0,0.26539659337361776,3.411652376252649e-07,0.27774351499157524,0.008331936482355534,jetbrains,0.40336134453781514,False
specific,language_support,downloads,119,1628,8766847.661377573,7783891.0,0.5761106273084017,2.0882343405289354e-19,0.027052188959625134,0.6910490982793742,jetbrains,0.40336134453781514,False
specific,language_support,rating,47,964,-15.056798258679937,0.0036983489990234375,-0.43778119254986925,0.5816291352089582,,,jetbrains,0.40336134453781514,False
specific,media_entertainment,stars,21,1728,-1486.9982638888891,-206.0,-0.18403518908824984,0.047841085416991676,-0.8701051425886779,0.0006474574302585893,firefox,0.6190476190476191,False
specific,media_entertainment,downloads,21,1726,-6282069.784500359,-355733.0,-0.4089441655614201,0.0003140986890501362,0.11010809469509575,0.5045293068626153,firefox,0.6190476190476191,False
specific,media_entertainment,rating,19,992,-14.678364862661155,0.20171277160644507,-0.42568403581282166,0.6135725641366984,,,firefox,0.6190476190476191,False
specific,mobs_entities,stars,2,1747,-2327.4722381224956,-359.0,-0.2880104123617127,0.07979855585356024,-1.028459164968048,0.20268472666947993,minecraft,1.0,True
specific,mobs_entities,downloads,2,1745,16281327.452148996,22722210.0,1.0594942476493074,0.07271968132450571,0.000658070779763098,0.9989937714828026,minecraft,1.0,True
specific,mobs_entities,rating,2,1009,-18.30416245012975,-4.194174766540527,-0.5300958534891888,0.09702820464747665,,,minecraft,1.0,True
specific,mod_framework_library,stars,29,1720,-2200.50398957498,-371.5,-0.2724508810387454,2.005233303013836e-07,-0.5576311165906391,0.02796192782565358,minecraft,1.0,False
