category_type,category,metric,n_category,n_other,mean_diff,median_diff,cohens_d,mann_whitney_p,adj_beta,adj_p,platform_top,platform_share,low_sample
generic,accessibility,stars,6,1733,3242.4555683785343,586.5,0.33587641118237704,0.30983367860176625,0.021241383136180403,0.9582099616077449,chrome,0.6666666666666666,True
generic,accessibility,downloads,6,1731,-4454966.898902368,499373.0,-0.2867445422664707,0.9068541864523837,0.6722349565485726,0.011150178233178635,chrome,0.6666666666666666,True
generic,accessibility,rating,6,1047,-14.551368867761976,0.42186277160644536,-0.41394317881046533,0.3475309562304464,,,chrome,0.6666666666666666,True
generic,automation_workflow,stars,30,1709,-974.6795591964112,173.0,-0.10095331358323197,0.8382719437844608,0.1339424368013864,0.45968113115485787,homeassistant,0.5,False
generic,automation_workflow,downloads,30,1707,-4138224.0298183947,-337657.5,-0.26648024582829266,6.414407296802138e-05,-0.11179033804683836,0.3451492919229232,homeassistant,0.5,False
generic,automation_workflow,rating,25,1028,0.6615470925890818,-4.207050000000001,0.01880997975716504,0.016352322270853453,,,homeassistant,0.5,False
generic,code_quality_linting,stars,42,1697,331.48859331593576,314.0,0.034331737894310654,0.04056919388130288,0.4289822907281824,0.008237190194706378,sublime,0.38095238095238093,False
generic,code_quality_linting,downloads,42,1695,174629.12511588726,1132752.5,0.011238451685399192,0.001303702315111259,0.04331620120069557,0.6833064113992438,sublime,0.38095238095238093,False
generic,code_quality_linting,rating,14,1039,-8.405694114944737,0.14666509628295898,-0.23909057213909124,0.27938824009486063,,,sublime,0.38095238095238093,False
generic,content_media,stars,18,1721,-1837.5855122990508,-255.5,-0.19034847040813663,0.010518506291763919,-0.6786237484435356,0.005777374456738056,firefox,0.3888888888888889,False
generic,content_media,downloads,18,1719,-4599194.851367073,-296165.5,-0.2961190677961584,0.0066866912007329925,-0.3178292557346586,0.0480324792796024,firefox,0.3888888888888889,False
generic,content_media,rating,15,1038,16.031055767853594,0.4864500129699705,0.4564818992898464,0.05413840792134085,,,firefox,0.3888888888888889,False
generic,data_storage_backup,stars,13,1726,-757.1224262411981,298.5,-0.07841464646403185,0.45469277363593985,-0.036144520368666555,0.8914229871681759,obsidian,0.3076923076923077,False
generic,data_storage_backup,downloads,13,1724,-4505117.727021239,-53131.0,-0.2900220976547272,0.5230803080641677,-0.22268532257261153,0.1982043608144112,obsidian,0.3076923076923077,False
generic,data_storage_backup,rating,8,1045,6.752848746325476,0.17648443222045884,0.1920318570200805,0.5441376592060087,,,obsidian,0.3076923076923077,True
generic,data_visualization,stars,2,1737,-1681.1652274035696,96.0,-0.17411617987066014,0.9634762349270621,-0.5737761672608519,0.4621878073636949,obsidian,1.0,True
generic,data_visualization,downloads,2,1735,-6573909.013256484,-189668.0,-0.42311420123781585,0.5132157503288245,-0.8402963372027652,0.09946133141904451,obsidian,1.0,True
generic,developer_tools,stars,345,1394,2742.455209697877,192.0,0.2858695067236518,0.0020655267328824572,0.18265139437533717,0.004925490784407882,jetbrains,0.2144927536231884,False
generic,developer_tools,downloads,344,1393,3189710.9415244833,1187490.5,0.20596827065532672,4.7252328958719453e-11,-0.07114803832805472,0.09392946780747037,jetbrains,0.2144927536231884,False
generic,developer_tools,rating,180,873,4.010833084423936,0.29529999999999923,0.11414627031842906,0.0006932665169822202,,,jetbrains,0.2144927536231884,False
generic,device_integration,stars,7,1732,-389.6573738040249,1022.0,-0.04035575520935515,0.029030022513960137,1.1241121506505567,0.00469617683631759,homeassistant,1.0,True
generic,device_integration,downloads,7,1730,-6731912.211147811,-332073.0,-0.4334025277714503,0.0007251270815739887,-0.17866144832792863,0.4920492023552805,homeassistant,1.0,True
generic,device_integration,rating,7,1046,-19.01224226056098,-4.194174766540527,-0.5411022660144155,0.0019468944336670888,,,homeassistant,1.0,True
generic,documentation_templates,stars,2,1737,-1742.736039147956,34.5,-0.1804932265339481,0.9960653127310617,-1.142373226497754,0.10123005908552696,chrome,0.5,True
generic,documentation_templates,downloads,2,1735,-726842.1391930832,5655674.5,-0.04677672388806559,0.7280455942653785,-1.42016785840142,0.0018188490382426122,chrome,0.5,True
generic,ecommerce_payments,stars,2,1737,-2100.647668393782,-323.0,-0.21756358053619504,0.07832024818304607,-1.3320796782458162,0.05648603461231348,wordpress,1.0,True
generic,ecommerce_payments,downloads,2,1735,-6730055.802305476,-345635.0,-0.43316636832250255,0.01729007178102519,-1.2854841057745099,0.0048558128173793475,wordpress,1.0,True
generic,ecommerce_payments,rating,2,1051,30.171450614132457,44.809523582458496,0.8584711627156449,0.7848255432409136,,,wordpress,1.0,True
generic,education_reference,stars,3,1736,-1881.1436251920125,-43.0,-0.1948306711883303,0.6276453434895307,0.8020783252102905,0.1733177397401586,jetbrains,0.3333333333333333,True
generic,education_reference,downloads,3,1734,168318.96078431327,4632549.0,0.01083233897511092,0.688888288724933,-0.2613637654254892,0.49732935587180105,jetbrains,0.3333333333333333,True
generic,education_reference,rating,2,1051,29.16954766456062,43.809523582458496,0.8299259874631577,0.8400658758961745,,,jetbrains,0.3333333333333333,True
generic,ide_productivity,stars,2,1737,-2112.6614853195165,-335.0,-0.21880791702213057,0.09264372643608038,-2.6646246738449806,0.0006375617533554266,jetbrains,1.0,True
generic,ide_productivity,downloads,2,1735,-3647021.4642651295,2738857.5,-0.2347152187903273,0.33850188032423323,-0.35207188615692164,0.4903296765910562,jetbrains,1.0,True
generic,integrations_connectors,stars,78,1661,-860.6018617144443,238.0,-0.08914509314598194,0.3525917350765565,0.21019521458063117,0.07513216979065827,homeassistant,0.34615384615384615,False
generic,integrations_connectors,downloads,78,1659,-4784431.342977697,-353665.0,-0.3085355791986299,2.1875095778104575e-08,0.0026211818658773423,0.972922494692017,homeassistant,0.34615384615384615,False
generic,integrations_connectors,rating,57,996,9.687642661251829,-4.2068,0.2759883253088503,0.328924102736437,,,homeassistant,0.34615384615384615,False
generic,language_support,stars,94,1645,-315.66717325227955,284.0,-0.0326935787795776,0.016910102717258745,0.14253032409216626,0.20831698665389486,vscode,0.30851063829787234,False
generic,language_support,downloads,94,1643,7306574.486901232,4003286.5,0.4729089532756255,1.2924187837808913e-09,0.15607414025581756,0.03502348688543389,vscode,0.30851063829787234,False
generic,language_support,rating,41,1012,-6.552931703894162,0.027812771606445352,-0.18644220457135666,0.42264068403358446,,,vscode,0.30851063829787234,False
generic,media_entertainment,stars,5,1734,-1978.720991926182,-126.0,-0.20494243791463224,0.15970692940790154,-0.933275865876972,0.09095780593727532,firefox,0.6,True
generic,media_entertainment,downloads,5,1732,-6704283.2003464205,-314449.5,-0.4315764109400106,0.014117081276983481,-0.31091871392919845,0.38903502176096494,firefox,0.6,True
generic,media_entertainment,rating,4,1049,-15.782633107289598,-0.09782641754150401,-0.4489222150656329,0.6935359506776941,,,firefox,0.6,True
generic,monitoring_observability,stars,10,1729,-1798.1720069404278,-232.5,-0.1862496669853232,0.099271249282206,-0.8096249170519831,0.0181905892056914,homeassistant,0.5,False
generic,monitoring_observability,downloads,10,1727,-4245257.113144181,-329924.0,-0.27326628799162744,0.009544898672703885,-0.5115374036504534,0.022450121177260172,homeassistant,0.5,False
generic,monitoring_observability,rating,8,1045,1.6491096668808751,-4.194174766540527,0.04688985857579178,0.21346667357792526,,,homeassistant,0.5,True
generic,navigation_search,stars,34,1705,272.2079696394685,-64.0,0.02819196248246515,0.3957752409637558,0.26107342971416525,0.12873449494481384,firefox,0.4117647058823529,False
generic,navigation_search,downloads,34,1703,-6030873.730112949,-279451.0,-0.3886858922276643,6.685158338110678e-05,0.05235292766478161,0.6412508567867512,firefox,0.4117647058823529,False
generic,navigation_search,rating,25,1028,10.824945595248828,0.48288725433349633,0.3081269832724998,0.015962028670915746,,,firefox,0.4117647058823529,False
generic,performance_optimization,stars,48,1691,903.9054183914845,-9.5,0.0936257462646411,0.7446194893017009,1.181427928968251,2.3206154794402614e-11,minecraft,0.4375,False
generic,performance_optimization,downloads,48,1689,6822560.995818531,1065250.0,0.44021584621108634,0.061546329791201566,0.28181680621357774,0.01497365732678825,minecraft,0.4375,False
generic,performance_optimization,rating,44,1009,6.367698873771094,-2.428224766540527,0.18117323345949055,0.4270239256842354,,,minecraft,0.4375,False
generic,privacy_security,stars,72,1667,1600.7527244551093,257.0,0.16587566791574548,0.01952425433780296,0.0425556677143506,0.7828150758527975,firefox,0.5,False
generic,privacy_security,downloads,72,1665,-4479751.81493994,-256958.0,-0.2887767604186761,0.0011372522978031526,0.48694202675959586,1.3480870272289798e-06,firefox,0.5,False
generic,privacy_security,rating,59,994,-8.455104671559193,0.2755692050933831,-0.24077469033932183,0.03723686576788317,,,firefox,0.5,False
generic,productivity_workflow,stars,421,1318,-789.4901780211146,66.0,-0.08181533901760066,0.27632842766753773,-0.09859636008212469,0.09230613062021215,obsidian,0.2042755344418052,False
generic,productivity_workflow,downloads,421,1316,-114368.40538701415,85708.5,-0.0073603316773420985,0.06543572075590001,-0.02532560301107578,0.5083811233697827,obsidian,0.2042755344418052,False
generic,productivity_workflow,rating,211,842,0.5782777503480148,0.26829765930175764,0.016442645216303897,0.0003393773281672408,,,obsidian,0.2042755344418052,False
generic,security_safety,stars,2,1737,-1150.5549798503166,626.0,-0.11916043582851234,0.8014257242334211,0.1419188152165054,0.8245275657897198,homeassistant,1.0,True
generic,security_safety,downloads,2,1735,-6697067.319020173,-312684.5,-0.43104267627628495,0.137619452562514,0.35482052312478185,0.39639548274072467,homeassistant,1.0,True
generic,security_safety,rating,2,1051,-18.921793914887523,-4.190476417541504,-0.5381551490906381,0.09868259021114967,,,homeassistant,1.0,True
generic,seo_marketing,stars,2,1737,-2169.2265400115143,-391.5,-0.22466668379491717,0.01732382327153152,-2.355456434853073,0.002522609574707024,wordpress,1.0,True
generic,seo_marketing,downloads,2,1735,-6715038.511239193,-330635.0,-0.432199602774375,0.05140123020737973,-0.9335427653880753,0.0671422834831503,wordpress,1.0,True
generic,seo_marketing,rating,2,1051,78.2627921935806,92.82051277160645,2.2358006361042086,0.030547336441996142,,,wordpress,1.0,True
generic,task_project_management,stars,5,1734,-125.19169550173001,2081.0,-0.012965724413787414,0.08216054508211013,0.9738083946069302,0.032067501129869086,obsidian,1.0,True
generic,task_project_management,downloads,5,1732,-5571706.047344111,374080.0,-0.3586390667337896,0.7949809011224351,1.086798084654151,0.0002504493902556154,obsidian,1.0,True
generic,testing_debugging,stars,11,1728,1475.3734217171718,176.0,0.15281114215287483,0.5636998856503569,0.23779790420481106,0.46676626340250793,vscode,0.5454545454545454,False
generic,testing_debugging,downloads,11,1726,12804287.24765617,8961138.5,0.8258011366176163,0.1310201453047028,-0.1014495006211168,0.6348230996191825,vscode,0.5454545454545454,False
generic,testing_debugging,rating,10,1043,4.43896883910331,0.1875127716064453,0.12622357549659038,0.09125008887903993,,,vscode,0.5454545454545454,False
generic,ui_customization,stars,333,1406,-1420.3633633633635,-134.0,-0.14735001082242738,3.9711022422406115e-05,-0.21873840768267616,0.0013733023247871393,homeassistant,0.23423423423423423,False
generic,ui_customization,downloads,333,1404,-2276165.7862670366,-244474.0,-0.1467293895678863,3.7093356412232144e-05,0.063846172113188,0.15323734235676614,homeassistant,0.23423423423423423,False
generic,ui_customization,rating,213,840,-2.9449597134812713,-4.270810604095459,-0.08378213484751676,1.070393189170326e-07,,,homeassistant,0.23423423423423423,False
generic,utilities_misc,stars,136,1603,-752.8837244504791,-146.0,-0.07799097961638392,0.00016644551125078797,-0.39418869555003155,2.3172966849812168e-05,minecraft,0.25,False
generic,utilities_misc,downloads,135,1602,-162087.814440283,-57607.5,-0.010431366846466663,0.47085890369550576,-0.1256713212563001,0.039197953080363224,minecraft,0.25,False
generic,utilities_misc,rating,103,950,-9.069407200509255,-4.233367681503296,-0.25863372909067756,0.0001160803936268514,,,minecraft,0.25,False
generic,world_generation,stars,4,1735,-1940.1945244956773,-369.5,-0.20094933811534016,0.04995522250213275,-0.9952987300804672,0.20303136147710993,minecraft,1.0,True
generic,world_generation,downloads,4,1733,3787574.1094922097,10196812.5,0.24376984131869964,0.04543446028241734,-0.6419475395828625,0.2091135891244661,minecraft,1.0,True
generic,world_generation,rating,4,1049,-18.957869785077968,-4.194174766540527,-0.5393301040737335,0.019370667228297403,,,minecraft,1.0,True
